iter	Logloss
0	0.6686110853
1	0.6480449443
2	0.6306839579
3	0.6161594733
4	0.603797689
5	0.5933154442
6	0.5844629639
7	0.5770328533
8	0.5706504193
9	0.5653953928
10	0.5608146255
11	0.5568350999
12	0.5535825118
13	0.5507582991
14	0.5483568588
15	0.5462474005
16	0.5445224288
17	0.5429800607
18	0.541681017
19	0.5405454195
20	0.5396767823
21	0.5389381676
22	0.5382617472
23	0.5376786978
24	0.5371742643
25	0.5367403063
26	0.5363224687
27	0.5359438127
28	0.5356244859
29	0.5353541287
30	0.5350893389
31	0.5347481266
32	0.5345870044
33	0.5344005562
34	0.5342454778
35	0.5340990792
36	0.5339565859
37	0.5337779126
38	0.5336639027
39	0.5335586199
40	0.5333653858
41	0.5332677233
42	0.5331608371
43	0.5330617361
44	0.5328682199
45	0.532785071
46	0.5326839149
47	0.5326033479
48	0.5324711343
49	0.5323771172
50	0.5322994261
51	0.5322201491
52	0.532144966
53	0.5320557347
54	0.5319735915
55	0.5318542324
56	0.5317088843
57	0.5316341269
58	0.5315481109
59	0.5314803767
60	0.531405642
61	0.5313190188
62	0.5312497737
63	0.5312005878
64	0.5311342749
65	0.5310768855
66	0.5310066399
67	0.5309443433
68	0.5308536741
69	0.5307895656
70	0.5307289776
71	0.5306562585
72	0.5305892112
73	0.5305424026
74	0.530481172
75	0.5304265319
76	0.5303184153
77	0.530260331
78	0.5301787643
79	0.5301148743
80	0.5300530992
81	0.530001536
82	0.5299251458
83	0.5298681353
84	0.5298039789
85	0.5297299899
86	0.5296664381
87	0.5295564914
88	0.5294724265
89	0.5294068792
90	0.5293081833
91	0.5292535445
92	0.5291958442
93	0.5291477806
94	0.5290777203
95	0.5290024882
96	0.5289446727
97	0.5288899608
98	0.5288292852
99	0.5287093579
100	0.5286581884
101	0.5285911141
102	0.5284923363
103	0.5284304105
104	0.5283465182
105	0.5282950483
106	0.5282590829
107	0.5281993559
108	0.5281346733
109	0.5280897363
110	0.5280225154
111	0.5279658536
112	0.5278830322
113	0.5278156018
114	0.5277666125
115	0.5277028176
116	0.5276209154
117	0.5275599583
118	0.52746639
119	0.5273968239
120	0.5273344524
121	0.5272480504
122	0.5271786715
123	0.5271126528
124	0.5270398844
125	0.5269503526
126	0.5268890827
127	0.5268166754
128	0.5267519817
129	0.5266700935
130	0.5266279526
131	0.5265471797
132	0.5264834205
133	0.5264412805
134	0.5263770317
135	0.5263150707
136	0.5262653726
137	0.5261961926
138	0.5261279467
139	0.5260778435
140	0.526003136
