iter	Passed	Remaining
0	191	191070
1	220	110055
2	246	81955
3	272	67820
4	296	59092
5	323	53615
6	349	49626
7	374	46485
8	405	44672
9	431	42748
10	458	41221
11	485	39954
12	512	38945
13	541	38153
14	567	37284
15	597	36727
16	623	36067
17	653	35671
18	681	35164
19	706	34623
20	732	34141
21	756	33642
22	784	33344
23	810	32962
24	836	32618
25	863	32334
26	891	32115
27	916	31827
28	944	31630
29	986	31896
30	1015	31755
31	1043	31551
32	1069	31349
33	1098	31199
34	1123	30990
35	1149	30768
36	1177	30647
37	1204	30490
38	1230	30310
39	1255	30136
40	1282	29986
41	1309	29861
42	1336	29734
43	1365	29676
44	1396	29641
45	1422	29504
46	1448	29374
47	1474	29241
48	1501	29150
49	1527	29026
50	1555	28942
51	1579	28797
52	1607	28719
53	1639	28725
54	1666	28628
55	1691	28517
56	1718	28426
57	1746	28369
58	1772	28277
59	1798	28169
60	1824	28079
61	1851	28018
62	1877	27920
63	1902	27824
64	1928	27740
65	1953	27646
66	1981	27599
67	2008	27531
68	2036	27482
69	2062	27395
70	2089	27333
71	2115	27260
72	2140	27183
73	2166	27109
74	2191	27031
75	2216	26953
76	2245	26914
77	2271	26852
78	2298	26794
79	2325	26742
80	2351	26677
81	2379	26639
82	2407	26597
83	2432	26530
84	2459	26478
85	2485	26419
86	2514	26388
87	2539	26322
88	2566	26269
89	2591	26206
90	2616	26140
91	2647	26126
92	2673	26069
93	2699	26020
94	2724	25954
95	2750	25903
96	2777	25855
97	2801	25785
98	2829	25749
99	2854	25693
100	2881	25650
101	2910	25626
102	2938	25590
103	2965	25548
104	2991	25503
105	3017	25446
106	3041	25382
107	3069	25351
108	3094	25296
109	3119	25237
110	3145	25188
111	3171	25144
112	3198	25106
113	3229	25099
114	3255	25052
115	3281	25008
116	3310	24988
117	3338	24950
118	3368	24940
119	3393	24883
120	3419	24839
121	3447	24807
122	3474	24771
123	3501	24738
124	3527	24694
125	3553	24652
126	3581	24620
127	3608	24582
